#
#
#   Plasma Parameters
#    electron and ion temp [keV]:   0.1000D+02   0.1000D+02
#    number density nb   [cm^-3]:   0.1000D+26   0.5000D+25  0.5000D+25
#    mass array mb         [amu]:   0.5486D-03   0.2015D+01  0.3022D+01
#    mass array mb         [keV]:   0.5110D+03   0.1877D+07  0.2815D+07
#    charge array zb            :  -0.1000D+01   0.1000D+01  0.1000D+01
#
#
#   Projectile Parameters
#    charge      :   0.2000D+01
#    mass   [amu]:   0.4029D+01
#    mass   [keV]:   0.3753D+07
#    energy [keV]:   0.1000D+01
#  ne[cm^-3]    Te[keV]    Ti[keV]        ge       gi          etae         ze/2**1.5
#  0.1000D+26  0.1000D+02  0.1000D+02  0.6126D-03  0.4332D-03  0.5217D-01  0.5854D-03
# ab  =  0.1362D-04  0.5000D-01  0.7500D-01
# etab=  0.1999D+02  0.1999D+02  0.1999D+02
    0.10000D+26
    0.10000D+02
    0.10000D+02
      1001
#
#  iu  ep[keV]     a_tot       a_i         a_e         ac_tot      ac_i        ac_e        aq_tot      aq_i        aq_e
    0  0.1000E-06 -0.2617E+04 -0.2587E+04 -0.2960E+02 -0.2630E+04 -0.2589E+04 -0.4176E+02  0.1375E+02  0.1588E+01  0.1216E+02
    1  0.3500E+01 -0.2778E+00 -0.2738E+00 -0.3926E-02 -0.2795E+00 -0.2740E+00 -0.5502E-02  0.1767E-02  0.1907E-03  0.1576E-02
    2  0.7000E+01 -0.1015E+00 -0.9949E-01 -0.1988E-02 -0.1023E+00 -0.9957E-01 -0.2763E-02  0.8600E-03  0.8460E-04  0.7754E-03
    3  0.1050E+02 -0.2099E-01 -0.2004E-01 -0.9586E-03 -0.2138E-01 -0.2007E-01 -0.1315E-02  0.3875E-03  0.3144E-04  0.3561E-03
    4  0.1400E+02  0.2734E-01  0.2758E-01 -0.2384E-03  0.2728E-01  0.2758E-01 -0.3069E-03  0.6563E-04 -0.2835E-05  0.6847E-04
  296  0.1036E+04  0.2999E-01  0.8692E-02  0.2130E-01  0.3828E-01  0.8897E-02  0.2938E-01 -0.8285E-02 -0.2054E-03 -0.8079E-02
  297  0.1040E+04  0.3000E-01  0.8665E-02  0.2134E-01  0.3830E-01  0.8870E-02  0.2943E-01 -0.8298E-02 -0.2054E-03 -0.8093E-02
  298  0.1043E+04  0.3001E-01  0.8638E-02  0.2137E-01  0.3832E-01  0.8843E-02  0.2948E-01 -0.8312E-02 -0.2054E-03 -0.8107E-02
  299  0.1047E+04  0.3002E-01  0.8611E-02  0.2141E-01  0.3835E-01  0.8817E-02  0.2953E-01 -0.8326E-02 -0.2053E-03 -0.8121E-02
  300  0.1050E+04  0.3003E-01  0.8585E-02  0.2145E-01  0.3837E-01  0.8790E-02  0.2958E-01 -0.8340E-02 -0.2053E-03 -0.8134E-02
  301  0.1054E+04  0.3004E-01  0.8559E-02  0.2148E-01  0.3839E-01  0.8764E-02  0.2963E-01 -0.8353E-02 -0.2052E-03 -0.8148E-02
  302  0.1057E+04  0.3005E-01  0.8532E-02  0.2152E-01  0.3842E-01  0.8738E-02  0.2968E-01 -0.8367E-02 -0.2052E-03 -0.8162E-02
  303  0.1061E+04  0.3006E-01  0.8506E-02  0.2155E-01  0.3844E-01  0.8712E-02  0.2973E-01 -0.8381E-02 -0.2051E-03 -0.8176E-02
  304  0.1064E+04  0.3007E-01  0.8481E-02  0.2159E-01  0.3847E-01  0.8686E-02  0.2978E-01 -0.8394E-02 -0.2051E-03 -0.8189E-02
  305  0.1068E+04  0.3008E-01  0.8455E-02  0.2163E-01  0.3849E-01  0.8660E-02  0.2983E-01 -0.8408E-02 -0.2051E-03 -0.8203E-02
  306  0.1071E+04  0.3009E-01  0.8429E-02  0.2166E-01  0.3851E-01  0.8635E-02  0.2988E-01 -0.8421E-02 -0.2050E-03 -0.8216E-02
  307  0.1075E+04  0.3010E-01  0.8404E-02  0.2170E-01  0.3854E-01  0.8609E-02  0.2993E-01 -0.8435E-02 -0.2050E-03 -0.8230E-02
  308  0.1078E+04  0.3011E-01  0.8379E-02  0.2173E-01  0.3856E-01  0.8584E-02  0.2998E-01 -0.8449E-02 -0.2049E-03 -0.8244E-02
  309  0.1082E+04  0.3012E-01  0.8354E-02  0.2177E-01  0.3859E-01  0.8559E-02  0.3003E-01 -0.8462E-02 -0.2049E-03 -0.8257E-02
  310  0.1085E+04  0.3013E-01  0.8329E-02  0.2180E-01  0.3861E-01  0.8534E-02  0.3008E-01 -0.8476E-02 -0.2048E-03 -0.8271E-02
  311  0.1089E+04  0.3014E-01  0.8304E-02  0.2184E-01  0.3863E-01  0.8509E-02  0.3012E-01 -0.8489E-02 -0.2048E-03 -0.8284E-02
  312  0.1092E+04  0.3016E-01  0.8280E-02  0.2188E-01  0.3866E-01  0.8484E-02  0.3017E-01 -0.8502E-02 -0.2047E-03 -0.8298E-02
  313  0.1096E+04  0.3017E-01  0.8255E-02  0.2191E-01  0.3868E-01  0.8460E-02  0.3022E-01 -0.8516E-02 -0.2047E-03 -0.8311E-02
  314  0.1099E+04  0.3018E-01  0.8231E-02  0.2195E-01  0.3871E-01  0.8436E-02  0.3027E-01 -0.8529E-02 -0.2046E-03 -0.8325E-02
  315  0.1103E+04  0.3019E-01  0.8207E-02  0.2198E-01  0.3873E-01  0.8411E-02  0.3032E-01 -0.8543E-02 -0.2046E-03 -0.8338E-02
  316  0.1106E+04  0.3020E-01  0.8183E-02  0.2202E-01  0.3876E-01  0.8387E-02  0.3037E-01 -0.8556E-02 -0.2046E-03 -0.8351E-02
  317  0.1110E+04  0.3021E-01  0.8159E-02  0.2205E-01  0.3878E-01  0.8363E-02  0.3042E-01 -0.8569E-02 -0.2045E-03 -0.8365E-02
  318  0.1113E+04  0.3022E-01  0.8135E-02  0.2209E-01  0.3880E-01  0.8340E-02  0.3047E-01 -0.8583E-02 -0.2045E-03 -0.8378E-02
  319  0.1117E+04  0.3023E-01  0.8112E-02  0.2212E-01  0.3883E-01  0.8316E-02  0.3051E-01 -0.8596E-02 -0.2044E-03 -0.8391E-02
  320  0.1120E+04  0.3025E-01  0.8088E-02  0.2216E-01  0.3885E-01  0.8293E-02  0.3056E-01 -0.8609E-02 -0.2044E-03 -0.8405E-02
  321  0.1124E+04  0.3026E-01  0.8065E-02  0.2219E-01  0.3888E-01  0.8269E-02  0.3061E-01 -0.8622E-02 -0.2043E-03 -0.8418E-02
  322  0.1127E+04  0.3027E-01  0.8042E-02  0.2223E-01  0.3890E-01  0.8246E-02  0.3066E-01 -0.8636E-02 -0.2043E-03 -0.8431E-02
  323  0.1131E+04  0.3028E-01  0.8019E-02  0.2226E-01  0.3893E-01  0.8223E-02  0.3071E-01 -0.8649E-02 -0.2042E-03 -0.8445E-02
  324  0.1134E+04  0.3029E-01  0.7996E-02  0.2230E-01  0.3895E-01  0.8200E-02  0.3075E-01 -0.8662E-02 -0.2041E-03 -0.8458E-02
  325  0.1138E+04  0.3030E-01  0.7973E-02  0.2233E-01  0.3898E-01  0.8177E-02  0.3080E-01 -0.8675E-02 -0.2041E-03 -0.8471E-02
  326  0.1141E+04  0.3032E-01  0.7951E-02  0.2237E-01  0.3900E-01  0.8155E-02  0.3085E-01 -0.8688E-02 -0.2040E-03 -0.8484E-02
  327  0.1145E+04  0.3033E-01  0.7928E-02  0.2240E-01  0.3903E-01  0.8132E-02  0.3090E-01 -0.8701E-02 -0.2040E-03 -0.8497E-02
  328  0.1148E+04  0.3034E-01  0.7906E-02  0.2243E-01  0.3905E-01  0.8110E-02  0.3094E-01 -0.8714E-02 -0.2039E-03 -0.8510E-02
  329  0.1152E+04  0.3035E-01  0.7883E-02  0.2247E-01  0.3908E-01  0.8087E-02  0.3099E-01 -0.8727E-02 -0.2039E-03 -0.8524E-02
  330  0.1155E+04  0.3036E-01  0.7861E-02  0.2250E-01  0.3911E-01  0.8065E-02  0.3104E-01 -0.8740E-02 -0.2038E-03 -0.8537E-02
  331  0.1159E+04  0.3038E-01  0.7839E-02  0.2254E-01  0.3913E-01  0.8043E-02  0.3109E-01 -0.8753E-02 -0.2038E-03 -0.8550E-02
  332  0.1162E+04  0.3039E-01  0.7818E-02  0.2257E-01  0.3916E-01  0.8021E-02  0.3113E-01 -0.8766E-02 -0.2037E-03 -0.8563E-02
  333  0.1166E+04  0.3040E-01  0.7796E-02  0.2261E-01  0.3918E-01  0.7999E-02  0.3118E-01 -0.8779E-02 -0.2037E-03 -0.8576E-02
  334  0.1169E+04  0.3041E-01  0.7774E-02  0.2264E-01  0.3921E-01  0.7978E-02  0.3123E-01 -0.8792E-02 -0.2036E-03 -0.8589E-02
  335  0.1173E+04  0.3043E-01  0.7753E-02  0.2267E-01  0.3923E-01  0.7956E-02  0.3128E-01 -0.8805E-02 -0.2036E-03 -0.8602E-02
  336  0.1176E+04  0.3044E-01  0.7731E-02  0.2271E-01  0.3926E-01  0.7935E-02  0.3132E-01 -0.8818E-02 -0.2035E-03 -0.8615E-02
  337  0.1180E+04  0.3045E-01  0.7710E-02  0.2274E-01  0.3928E-01  0.7914E-02  0.3137E-01 -0.8831E-02 -0.2034E-03 -0.8628E-02
  338  0.1183E+04  0.3047E-01  0.7689E-02  0.2278E-01  0.3931E-01  0.7892E-02  0.3142E-01 -0.8844E-02 -0.2034E-03 -0.8641E-02
  339  0.1187E+04  0.3048E-01  0.7668E-02  0.2281E-01  0.3933E-01  0.7871E-02  0.3146E-01 -0.8857E-02 -0.2033E-03 -0.8653E-02
  340  0.1190E+04  0.3049E-01  0.7647E-02  0.2284E-01  0.3936E-01  0.7850E-02  0.3151E-01 -0.8870E-02 -0.2033E-03 -0.8666E-02
  341  0.1194E+04  0.3050E-01  0.7626E-02  0.2288E-01  0.3939E-01  0.7830E-02  0.3156E-01 -0.8882E-02 -0.2032E-03 -0.8679E-02
  342  0.1197E+04  0.3052E-01  0.7606E-02  0.2291E-01  0.3941E-01  0.7809E-02  0.3160E-01 -0.8895E-02 -0.2032E-03 -0.8692E-02
  343  0.1201E+04  0.3053E-01  0.7585E-02  0.2295E-01  0.3944E-01  0.7788E-02  0.3165E-01 -0.8908E-02 -0.2031E-03 -0.8705E-02
  344  0.1204E+04  0.3054E-01  0.7565E-02  0.2298E-01  0.3946E-01  0.7768E-02  0.3170E-01 -0.8921E-02 -0.2030E-03 -0.8718E-02
  345  0.1208E+04  0.3056E-01  0.7545E-02  0.2301E-01  0.3949E-01  0.7748E-02  0.3174E-01 -0.8933E-02 -0.2030E-03 -0.8730E-02
  346  0.1211E+04  0.3057E-01  0.7524E-02  0.2305E-01  0.3952E-01  0.7727E-02  0.3179E-01 -0.8946E-02 -0.2029E-03 -0.8743E-02
  347  0.1215E+04  0.3058E-01  0.7504E-02  0.2308E-01  0.3954E-01  0.7707E-02  0.3184E-01 -0.8959E-02 -0.2029E-03 -0.8756E-02
  348  0.1218E+04  0.3060E-01  0.7484E-02  0.2311E-01  0.3957E-01  0.7687E-02  0.3188E-01 -0.8971E-02 -0.2028E-03 -0.8769E-02
  349  0.1222E+04  0.3061E-01  0.7464E-02  0.2315E-01  0.3959E-01  0.7667E-02  0.3193E-01 -0.8984E-02 -0.2027E-03 -0.8781E-02
  350  0.1225E+04  0.3062E-01  0.7445E-02  0.2318E-01  0.3962E-01  0.7647E-02  0.3197E-01 -0.8997E-02 -0.2027E-03 -0.8794E-02
  351  0.1229E+04  0.3064E-01  0.7425E-02  0.2321E-01  0.3965E-01  0.7628E-02  0.3202E-01 -0.9009E-02 -0.2026E-03 -0.8807E-02
  352  0.1232E+04  0.3065E-01  0.7405E-02  0.2325E-01  0.3967E-01  0.7608E-02  0.3207E-01 -0.9022E-02 -0.2026E-03 -0.8819E-02
  353  0.1236E+04  0.3067E-01  0.7386E-02  0.2328E-01  0.3970E-01  0.7589E-02  0.3211E-01 -0.9034E-02 -0.2025E-03 -0.8832E-02
  354  0.1239E+04  0.3068E-01  0.7367E-02  0.2331E-01  0.3973E-01  0.7569E-02  0.3216E-01 -0.9047E-02 -0.2024E-03 -0.8844E-02
  355  0.1243E+04  0.3069E-01  0.7347E-02  0.2335E-01  0.3975E-01  0.7550E-02  0.3220E-01 -0.9059E-02 -0.2024E-03 -0.8857E-02
  356  0.1246E+04  0.3071E-01  0.7328E-02  0.2338E-01  0.3978E-01  0.7531E-02  0.3225E-01 -0.9072E-02 -0.2023E-03 -0.8870E-02
  357  0.1250E+04  0.3072E-01  0.7309E-02  0.2341E-01  0.3980E-01  0.7512E-02  0.3229E-01 -0.9084E-02 -0.2023E-03 -0.8882E-02
  358  0.1253E+04  0.3073E-01  0.7290E-02  0.2344E-01  0.3983E-01  0.7493E-02  0.3234E-01 -0.9097E-02 -0.2022E-03 -0.8895E-02
  359  0.1257E+04  0.3075E-01  0.7272E-02  0.2348E-01  0.3986E-01  0.7474E-02  0.3238E-01 -0.9109E-02 -0.2021E-03 -0.8907E-02
  360  0.1260E+04  0.3076E-01  0.7253E-02  0.2351E-01  0.3988E-01  0.7455E-02  0.3243E-01 -0.9122E-02 -0.2021E-03 -0.8920E-02
  361  0.1264E+04  0.3078E-01  0.7234E-02  0.2354E-01  0.3991E-01  0.7436E-02  0.3247E-01 -0.9134E-02 -0.2020E-03 -0.8932E-02
  362  0.1267E+04  0.3079E-01  0.7216E-02  0.2358E-01  0.3994E-01  0.7418E-02  0.3252E-01 -0.9147E-02 -0.2019E-03 -0.8945E-02
  363  0.1271E+04  0.3081E-01  0.7197E-02  0.2361E-01  0.3996E-01  0.7399E-02  0.3256E-01 -0.9159E-02 -0.2019E-03 -0.8957E-02
  364  0.1274E+04  0.3082E-01  0.7179E-02  0.2364E-01  0.3999E-01  0.7381E-02  0.3261E-01 -0.9171E-02 -0.2018E-03 -0.8969E-02
  365  0.1278E+04  0.3083E-01  0.7161E-02  0.2367E-01  0.4002E-01  0.7362E-02  0.3265E-01 -0.9184E-02 -0.2018E-03 -0.8982E-02
  366  0.1281E+04  0.3085E-01  0.7143E-02  0.2371E-01  0.4004E-01  0.7344E-02  0.3270E-01 -0.9196E-02 -0.2017E-03 -0.8994E-02
  367  0.1285E+04  0.3086E-01  0.7124E-02  0.2374E-01  0.4007E-01  0.7326E-02  0.3274E-01 -0.9208E-02 -0.2016E-03 -0.9007E-02
  368  0.1288E+04  0.3088E-01  0.7107E-02  0.2377E-01  0.4010E-01  0.7308E-02  0.3279E-01 -0.9220E-02 -0.2016E-03 -0.9019E-02
  369  0.1292E+04  0.3089E-01  0.7089E-02  0.2380E-01  0.4012E-01  0.7290E-02  0.3283E-01 -0.9233E-02 -0.2015E-03 -0.9031E-02
  370  0.1295E+04  0.3091E-01  0.7071E-02  0.2384E-01  0.4015E-01  0.7272E-02  0.3288E-01 -0.9245E-02 -0.2014E-03 -0.9044E-02
  371  0.1299E+04  0.3092E-01  0.7053E-02  0.2387E-01  0.4018E-01  0.7255E-02  0.3292E-01 -0.9257E-02 -0.2014E-03 -0.9056E-02
  372  0.1302E+04  0.3094E-01  0.7036E-02  0.2390E-01  0.4020E-01  0.7237E-02  0.3297E-01 -0.9269E-02 -0.2013E-03 -0.9068E-02
  373  0.1306E+04  0.3095E-01  0.7018E-02  0.2393E-01  0.4023E-01  0.7219E-02  0.3301E-01 -0.9282E-02 -0.2012E-03 -0.9080E-02
  374  0.1309E+04  0.3096E-01  0.7001E-02  0.2396E-01  0.4026E-01  0.7202E-02  0.3306E-01 -0.9294E-02 -0.2012E-03 -0.9093E-02
  375  0.1313E+04  0.3098E-01  0.6983E-02  0.2400E-01  0.4029E-01  0.7184E-02  0.3310E-01 -0.9306E-02 -0.2011E-03 -0.9105E-02
  376  0.1316E+04  0.3099E-01  0.6966E-02  0.2403E-01  0.4031E-01  0.7167E-02  0.3315E-01 -0.9318E-02 -0.2010E-03 -0.9117E-02
  377  0.1320E+04  0.3101E-01  0.6949E-02  0.2406E-01  0.4034E-01  0.7150E-02  0.3319E-01 -0.9330E-02 -0.2010E-03 -0.9129E-02
  378  0.1323E+04  0.3102E-01  0.6932E-02  0.2409E-01  0.4037E-01  0.7133E-02  0.3323E-01 -0.9342E-02 -0.2009E-03 -0.9141E-02
  379  0.1327E+04  0.3104E-01  0.6915E-02  0.2412E-01  0.4039E-01  0.7116E-02  0.3328E-01 -0.9354E-02 -0.2008E-03 -0.9154E-02
  380  0.1330E+04  0.3105E-01  0.6898E-02  0.2416E-01  0.4042E-01  0.7099E-02  0.3332E-01 -0.9366E-02 -0.2008E-03 -0.9166E-02
  381  0.1334E+04  0.3107E-01  0.6881E-02  0.2419E-01  0.4045E-01  0.7082E-02  0.3337E-01 -0.9378E-02 -0.2007E-03 -0.9178E-02
  382  0.1337E+04  0.3108E-01  0.6865E-02  0.2422E-01  0.4047E-01  0.7065E-02  0.3341E-01 -0.9390E-02 -0.2006E-03 -0.9190E-02
  383  0.1341E+04  0.3110E-01  0.6848E-02  0.2425E-01  0.4050E-01  0.7048E-02  0.3345E-01 -0.9402E-02 -0.2006E-03 -0.9202E-02
  384  0.1344E+04  0.3111E-01  0.6831E-02  0.2428E-01  0.4053E-01  0.7032E-02  0.3350E-01 -0.9414E-02 -0.2005E-03 -0.9214E-02
  385  0.1348E+04  0.3113E-01  0.6815E-02  0.2431E-01  0.4056E-01  0.7015E-02  0.3354E-01 -0.9426E-02 -0.2004E-03 -0.9226E-02
  386  0.1351E+04  0.3114E-01  0.6798E-02  0.2435E-01  0.4058E-01  0.6999E-02  0.3358E-01 -0.9438E-02 -0.2004E-03 -0.9238E-02
  387  0.1355E+04  0.3116E-01  0.6782E-02  0.2438E-01  0.4061E-01  0.6982E-02  0.3363E-01 -0.9450E-02 -0.2003E-03 -0.9250E-02
  388  0.1358E+04  0.3118E-01  0.6766E-02  0.2441E-01  0.4064E-01  0.6966E-02  0.3367E-01 -0.9462E-02 -0.2002E-03 -0.9262E-02
  389  0.1362E+04  0.3119E-01  0.6750E-02  0.2444E-01  0.4066E-01  0.6950E-02  0.3371E-01 -0.9474E-02 -0.2002E-03 -0.9274E-02
  390  0.1365E+04  0.3121E-01  0.6734E-02  0.2447E-01  0.4069E-01  0.6934E-02  0.3376E-01 -0.9486E-02 -0.2001E-03 -0.9286E-02
  391  0.1369E+04  0.3122E-01  0.6718E-02  0.2450E-01  0.4072E-01  0.6918E-02  0.3380E-01 -0.9498E-02 -0.2000E-03 -0.9298E-02
  392  0.1372E+04  0.3124E-01  0.6702E-02  0.2454E-01  0.4075E-01  0.6902E-02  0.3384E-01 -0.9510E-02 -0.2000E-03 -0.9310E-02
  393  0.1376E+04  0.3125E-01  0.6686E-02  0.2457E-01  0.4077E-01  0.6886E-02  0.3389E-01 -0.9522E-02 -0.1999E-03 -0.9322E-02
  394  0.1379E+04  0.3127E-01  0.6670E-02  0.2460E-01  0.4080E-01  0.6870E-02  0.3393E-01 -0.9533E-02 -0.1998E-03 -0.9334E-02
  395  0.1383E+04  0.3128E-01  0.6654E-02  0.2463E-01  0.4083E-01  0.6854E-02  0.3397E-01 -0.9545E-02 -0.1997E-03 -0.9346E-02
  396  0.1386E+04  0.3130E-01  0.6639E-02  0.2466E-01  0.4086E-01  0.6839E-02  0.3402E-01 -0.9557E-02 -0.1997E-03 -0.9357E-02
  397  0.1390E+04  0.3131E-01  0.6623E-02  0.2469E-01  0.4088E-01  0.6823E-02  0.3406E-01 -0.9569E-02 -0.1996E-03 -0.9369E-02
  398  0.1393E+04  0.3133E-01  0.6608E-02  0.2472E-01  0.4091E-01  0.6807E-02  0.3410E-01 -0.9581E-02 -0.1995E-03 -0.9381E-02
  399  0.1397E+04  0.3135E-01  0.6592E-02  0.2475E-01  0.4094E-01  0.6792E-02  0.3415E-01 -0.9592E-02 -0.1995E-03 -0.9393E-02
  400  0.1400E+04  0.3136E-01  0.6577E-02  0.2478E-01  0.4097E-01  0.6777E-02  0.3419E-01 -0.9604E-02 -0.1994E-03 -0.9405E-02
  401  0.1404E+04  0.3138E-01  0.6562E-02  0.2482E-01  0.4099E-01  0.6761E-02  0.3423E-01 -0.9616E-02 -0.1993E-03 -0.9416E-02
  402  0.1407E+04  0.3139E-01  0.6547E-02  0.2485E-01  0.4102E-01  0.6746E-02  0.3427E-01 -0.9627E-02 -0.1993E-03 -0.9428E-02
  403  0.1411E+04  0.3141E-01  0.6532E-02  0.2488E-01  0.4105E-01  0.6731E-02  0.3432E-01 -0.9639E-02 -0.1992E-03 -0.9440E-02
  404  0.1414E+04  0.3142E-01  0.6517E-02  0.2491E-01  0.4108E-01  0.6716E-02  0.3436E-01 -0.9651E-02 -0.1991E-03 -0.9452E-02
  405  0.1418E+04  0.3144E-01  0.6502E-02  0.2494E-01  0.4110E-01  0.6701E-02  0.3440E-01 -0.9662E-02 -0.1990E-03 -0.9463E-02
  406  0.1421E+04  0.3146E-01  0.6487E-02  0.2497E-01  0.4113E-01  0.6686E-02  0.3444E-01 -0.9674E-02 -0.1990E-03 -0.9475E-02
  407  0.1425E+04  0.3147E-01  0.6472E-02  0.2500E-01  0.4116E-01  0.6671E-02  0.3449E-01 -0.9686E-02 -0.1989E-03 -0.9487E-02
  408  0.1428E+04  0.3149E-01  0.6457E-02  0.2503E-01  0.4119E-01  0.6656E-02  0.3453E-01 -0.9697E-02 -0.1988E-03 -0.9499E-02
  409  0.1432E+04  0.3150E-01  0.6443E-02  0.2506E-01  0.4121E-01  0.6641E-02  0.3457E-01 -0.9709E-02 -0.1988E-03 -0.9510E-02
  410  0.1435E+04  0.3152E-01  0.6428E-02  0.2509E-01  0.4124E-01  0.6627E-02  0.3461E-01 -0.9720E-02 -0.1987E-03 -0.9522E-02
  411  0.1439E+04  0.3154E-01  0.6413E-02  0.2512E-01  0.4127E-01  0.6612E-02  0.3466E-01 -0.9732E-02 -0.1986E-03 -0.9533E-02
  412  0.1442E+04  0.3155E-01  0.6399E-02  0.2515E-01  0.4130E-01  0.6597E-02  0.3470E-01 -0.9744E-02 -0.1985E-03 -0.9545E-02
  413  0.1446E+04  0.3157E-01  0.6385E-02  0.2518E-01  0.4132E-01  0.6583E-02  0.3474E-01 -0.9755E-02 -0.1985E-03 -0.9557E-02
  414  0.1449E+04  0.3158E-01  0.6370E-02  0.2521E-01  0.4135E-01  0.6569E-02  0.3478E-01 -0.9767E-02 -0.1984E-03 -0.9568E-02
  415  0.1453E+04  0.3160E-01  0.6356E-02  0.2524E-01  0.4138E-01  0.6554E-02  0.3482E-01 -0.9778E-02 -0.1983E-03 -0.9580E-02
  416  0.1456E+04  0.3162E-01  0.6342E-02  0.2528E-01  0.4141E-01  0.6540E-02  0.3487E-01 -0.9790E-02 -0.1982E-03 -0.9591E-02
  417  0.1460E+04  0.3163E-01  0.6328E-02  0.2531E-01  0.4143E-01  0.6526E-02  0.3491E-01 -0.9801E-02 -0.1982E-03 -0.9603E-02
  418  0.1463E+04  0.3165E-01  0.6313E-02  0.2534E-01  0.4146E-01  0.6512E-02  0.3495E-01 -0.9812E-02 -0.1981E-03 -0.9614E-02
  419  0.1467E+04  0.3167E-01  0.6299E-02  0.2537E-01  0.4149E-01  0.6497E-02  0.3499E-01 -0.9824E-02 -0.1980E-03 -0.9626E-02
  420  0.1470E+04  0.3168E-01  0.6285E-02  0.2540E-01  0.4152E-01  0.6483E-02  0.3503E-01 -0.9835E-02 -0.1980E-03 -0.9637E-02
  421  0.1474E+04  0.3170E-01  0.6272E-02  0.2543E-01  0.4154E-01  0.6469E-02  0.3508E-01 -0.9847E-02 -0.1979E-03 -0.9649E-02
  422  0.1477E+04  0.3171E-01  0.6258E-02  0.2546E-01  0.4157E-01  0.6456E-02  0.3512E-01 -0.9858E-02 -0.1978E-03 -0.9660E-02
  423  0.1481E+04  0.3173E-01  0.6244E-02  0.2549E-01  0.4160E-01  0.6442E-02  0.3516E-01 -0.9870E-02 -0.1977E-03 -0.9672E-02
  424  0.1484E+04  0.3175E-01  0.6230E-02  0.2552E-01  0.4163E-01  0.6428E-02  0.3520E-01 -0.9881E-02 -0.1977E-03 -0.9683E-02
  425  0.1488E+04  0.3176E-01  0.6217E-02  0.2555E-01  0.4166E-01  0.6414E-02  0.3524E-01 -0.9892E-02 -0.1976E-03 -0.9695E-02
  426  0.1491E+04  0.3178E-01  0.6203E-02  0.2558E-01  0.4168E-01  0.6401E-02  0.3528E-01 -0.9904E-02 -0.1975E-03 -0.9706E-02
  427  0.1495E+04  0.3180E-01  0.6190E-02  0.2561E-01  0.4171E-01  0.6387E-02  0.3532E-01 -0.9915E-02 -0.1974E-03 -0.9717E-02
  428  0.1498E+04  0.3181E-01  0.6176E-02  0.2564E-01  0.4174E-01  0.6373E-02  0.3537E-01 -0.9926E-02 -0.1974E-03 -0.9729E-02
  429  0.1502E+04  0.3183E-01  0.6163E-02  0.2567E-01  0.4177E-01  0.6360E-02  0.3541E-01 -0.9937E-02 -0.1973E-03 -0.9740E-02
  430  0.1505E+04  0.3185E-01  0.6149E-02  0.2570E-01  0.4179E-01  0.6347E-02  0.3545E-01 -0.9949E-02 -0.1972E-03 -0.9751E-02
  431  0.1509E+04  0.3186E-01  0.6136E-02  0.2573E-01  0.4182E-01  0.6333E-02  0.3549E-01 -0.9960E-02 -0.1971E-03 -0.9763E-02
  432  0.1512E+04  0.3188E-01  0.6123E-02  0.2576E-01  0.4185E-01  0.6320E-02  0.3553E-01 -0.9971E-02 -0.1971E-03 -0.9774E-02
  433  0.1516E+04  0.3190E-01  0.6110E-02  0.2579E-01  0.4188E-01  0.6307E-02  0.3557E-01 -0.9982E-02 -0.1970E-03 -0.9785E-02
  434  0.1519E+04  0.3191E-01  0.6097E-02  0.2582E-01  0.4191E-01  0.6293E-02  0.3561E-01 -0.9994E-02 -0.1969E-03 -0.9797E-02
  435  0.1523E+04  0.3193E-01  0.6084E-02  0.2584E-01  0.4193E-01  0.6280E-02  0.3565E-01 -0.1000E-01 -0.1968E-03 -0.9808E-02
  436  0.1526E+04  0.3194E-01  0.6071E-02  0.2587E-01  0.4196E-01  0.6267E-02  0.3569E-01 -0.1002E-01 -0.1968E-03 -0.9819E-02
  437  0.1530E+04  0.3196E-01  0.6058E-02  0.2590E-01  0.4199E-01  0.6254E-02  0.3573E-01 -0.1003E-01 -0.1967E-03 -0.9831E-02
  438  0.1533E+04  0.3198E-01  0.6045E-02  0.2593E-01  0.4202E-01  0.6241E-02  0.3578E-01 -0.1004E-01 -0.1966E-03 -0.9842E-02
  439  0.1537E+04  0.3199E-01  0.6032E-02  0.2596E-01  0.4204E-01  0.6228E-02  0.3582E-01 -0.1005E-01 -0.1965E-03 -0.9853E-02
  440  0.1540E+04  0.3201E-01  0.6019E-02  0.2599E-01  0.4207E-01  0.6216E-02  0.3586E-01 -0.1006E-01 -0.1965E-03 -0.9864E-02
  441  0.1544E+04  0.3203E-01  0.6006E-02  0.2602E-01  0.4210E-01  0.6203E-02  0.3590E-01 -0.1007E-01 -0.1964E-03 -0.9875E-02
  442  0.1547E+04  0.3205E-01  0.5994E-02  0.2605E-01  0.4213E-01  0.6190E-02  0.3594E-01 -0.1008E-01 -0.1963E-03 -0.9887E-02
  443  0.1551E+04  0.3206E-01  0.5981E-02  0.2608E-01  0.4216E-01  0.6177E-02  0.3598E-01 -0.1009E-01 -0.1962E-03 -0.9898E-02
  444  0.1554E+04  0.3208E-01  0.5969E-02  0.2611E-01  0.4218E-01  0.6165E-02  0.3602E-01 -0.1011E-01 -0.1962E-03 -0.9909E-02
  445  0.1558E+04  0.3210E-01  0.5956E-02  0.2614E-01  0.4221E-01  0.6152E-02  0.3606E-01 -0.1012E-01 -0.1961E-03 -0.9920E-02
  446  0.1561E+04  0.3211E-01  0.5944E-02  0.2617E-01  0.4224E-01  0.6140E-02  0.3610E-01 -0.1013E-01 -0.1960E-03 -0.9931E-02
